order_id,customer_name,email,city,order_date,amount
1,"Amit Sharma",amit@gmail.com,Delhi,2024-01-05,1200.00
2,"Riya Gupta",riya@gmail.com,Mumbai,2024-01-07,850.00
3,"Rahul Verma",rahul@gmail.com,Delhi,2024-01-08,950.00
4,"Pooja Singh",unknow@gmail.com,Delhi,2024-01-09,700.00
6,"Neha Kapoor",neha@gmail.com,Mumbai,2024-01-10,650.00
7,"Vikas Jain",vikas@gmail.com,Delhi,2024-01-12,1100.00
8,"Ankit Mehta",ankit@gmail.com,Bangalore,2024-01-13,900.00
9,"Priya Shah",priya@gmail.com,Mumbai,2024-01-14,500.00
10,"Rohit Gupta",rohit@gmail.com,Delhi,2024-01-15,1000.00
11,"Sneha Patil",sneha@gmail.com,Pune,2024-01-01,750.00
12,"Karan Malhotra",karan@gmail.com,Bengaluru,2024-01-18,0.00
13,"Meena Joshi",meena@gmail.com,Delhi,2024-01-19,850.00
14,"Sanjay Kumar",sanjay@gmail.com,Chennai,2024-01-20,780.00
